channel_id,channel_title,channel_description,is_official
UCkXiGAbHt_F5yxB4v4CDSPQ,"SPCA of Hernando County Brooksville, Florida",,no
UCfJO1HDW5arLgP0OW0BniZQ,Brookridge Calendar,"Brookridge Community located in Brooksville, Florida. A senior gated retirement community with a private golf course. You can ...",no
UCEtNubo8_uH1VBJaD70IM9A,ML S,"Welcome to my channel, where I post short videos featuring my art and music. I am a narrative painter and mixed-media artist with ...",no
UCXFHWRtMsTSf802NeZtkk7A,Tim Urban,"If you are going to be living in Brooksville, Florida, this is the channel for you! I inform you what it is like to move and live in ...",no
UCp7KonNZn-nUUY8ql3PTWhQ,BDSvisions,Independent Artist Dreaming about Billions Will be shaking up the industry a town near you. Based out of Brooksville Florida #352 ...,no
UCKz_eZ0JtAVIfCEApTxeHsQ,Lead Foot City,Now in Construction! Lead Foot City will be the home for High Octane Thrills complete with Motorsports & Music Events. A brand ...,no
UCAEh6z7dVZmy50RWIy9qpOg,"Florida's Adventure Coast, Brooksville - Weeki Wachee",Hernando County is Florida's Adventure Coast. Visit the small cities of Weeki Wachee and Brooksville for magical mermaids and ...,yes
