channel_id,channel_title,channel_description,is_official
UCsETCk0YSV0FhsYxQadpnKA,Tallahassee Police Department,The Tallahassee Police Department has a distinguished 170-year history of protecting and serving Florida's Capital City while ...,yes
UCkhSsuXPJsc3Tg2KPx_uMLg,Briana Holley Southern Oaks Real Estate ,"A small town girl, chasing dreams to become one of the top Real Estate Agents in the Florida Panhandle area! I started at the ...",no
UCGNHkhnAnEpXjPe3ZPTDcmw,Wave 94 WAKU 94.1 FM,,no
UCGwvS939GNIXduMtDQ_vk7g,TSC Learning Commons,"Located next to the Library, the award-winning TSC Learning Commons offers a variety of free tools and resources to help ...",no
UCMnLeH2GLlPGKwJAUobu-8A,Real Estate Tallahassee,REAL ESTATE TIPS FOR ALL!,no
UCGNHkhnAnEpXjPe3ZPTDcmw,Wave 94 WAKU 94.1 FM,,no
UCxNA34WpRvwO0fSJeP-csmQ,New Waters,"Captain Gary Bartell Jr of Ozello Keys Marina in Ozello, FL hosts a unique fishing show that focuses on random and ...",no
UCMnLeH2GLlPGKwJAUobu-8A,Real Estate Tallahassee,REAL ESTATE TIPS FOR ALL!,no
