channel_id,channel_title,channel_description,is_official
UCFXad0mx4WxY1fXdbvtg0CQ,Fascinating Horror,I tell the true stories behind some of history's greatest disasters... but without sensationalism or disturbing imagery. Fascinating ...,no
UC7PU0-rS-5muovkjZV7VyrQ,COTUtilities,"For videos from the City of Tallahassee, visit https://www.youtube.com/user/WCOT Please note: The City of Tallahassee is not ...",yes
UCFXad0mx4WxY1fXdbvtg0CQ,Fascinating Horror,I tell the true stories behind some of history's greatest disasters... but without sensationalism or disturbing imagery. Fascinating ...,no
UC8ih8HMWwYx4aIc5Tw0EywQ,High School Basketball 17,,no
UCwDfOErrOkTDvvbHKYKv9PQ,RealtyFoxChannel,Wellington Florida Real Estate Agents.,no
UC7PU0-rS-5muovkjZV7VyrQ,COTUtilities,"For videos from the City of Tallahassee, visit https://www.youtube.com/user/WCOT Please note: The City of Tallahassee is not ...",yes
