channel_id,channel_title,channel_description,is_official
UCkR8oC7KOgkX3pKL5IaNK-A,Green Cove Springs Florida City Government,"Official channel of the City of Green Cove Springs, FL, with videos highlighting City events, projects, and initiatives.",yes
UC8Tqso6NzV1hQe-otNfu6SQ,Green Cove Springs Police Department,"City of Green Cove Springs (Florida), Police Department.",yes
UCMJdqkNzTXb-Dn5YMHzVhWg,Pj Kern,,no
UCDdkotLA-EpBUTDdlQE5XaA,Cindy Allen- REALTOR Florida Homes Realty,,no
UCi-7pWM-rcxv-I9LPvZ2jAQ,Rui Smith,,no
UCkR8oC7KOgkX3pKL5IaNK-A,Green Cove Springs Florida City Government,"Official channel of the City of Green Cove Springs, FL, with videos highlighting City events, projects, and initiatives.",yes
UC8Tqso6NzV1hQe-otNfu6SQ,Green Cove Springs Police Department,"City of Green Cove Springs (Florida), Police Department.",yes
UCi-7pWM-rcxv-I9LPvZ2jAQ,Rui Smith,,no
UCtMmO87UuvKVnBulxVDfx-A,Armstrong Advertising,"Armstrong Advertising is a small advertising and marketing agency based out of Green Cove Springs, Florida. We will find creative ...",no
UC4hbv1AQ39tPy6vxRzj-BlA,Josh Whicker,Hello- Just my channel of random videos overtime. I upload them occasionally to share with friends & family.,no
