channel_id,channel_title,channel_description,is_official
UC5npPvea5tVKk61ja46UM2A,Terry E. Qualls,,no
UCx2bGNY3hdcZ7LxlnbDZotw,LIVING IN JACKSONVILLE FLORIDA,"This channel is all about living in Jacksonville, Florida, moving to Jacksonville Florida, and relocating to Jacksonville Florida.",no
UCxjTE05m4Q_0aXy0lF69zKA,Starke Family,"On this channel I'll be talking about what it's like to take care of your parents at a young age, I'll tell stories about when my dad was ...",no
UCXAluAhpfMXN9gIUQcJA-9g,Mount Family Adventures,"You've always heard that a ""Family that plays together stays together"" well that's our biggest thing in life is Family. We are a 3 ...",no
UCwUNYEHsH11ipk-QC4GEnUg,River City Science,"River City Science Academy is a tuition-free public charter school in Jacksonville, Florida focused on STEM education. We believe ...",no
UCxjTE05m4Q_0aXy0lF69zKA,Starke Family,"On this channel I'll be talking about what it's like to take care of your parents at a young age, I'll tell stories about when my dad was ...",no
UC5npPvea5tVKk61ja46UM2A,Terry E. Qualls,,no
UCVPX1AjdwQzRJjuNczNh1VQ,My Backroads,"My travels, vlogged, blogged, and documented. As people travel the interstates to get to their destinations quickly, they are ...",no
UC5aSj6xgCusojgDr_XZDYww,YotaMafia,Toyota Community of enthusiast and adventures . Check out Yotamafia.com for all your adventure needs.,no
UCm4nvaJlUv3vs-8krKKZqKA,Stacks MOney,All about the Art of making money!,no
